code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,1715.6104,1415.3062,0.4162,7.8525,1.0918,0.7906,4.0,15.54019531,25.04,,38.76,,31.99,88.51,1.00129976,,23.39,23.39,8.24,9.48,3.34,3.34,1.9082,,7104999936.0,24576999424.0,6154999808.0,,157135994880.0,24576999424.0,,16538999808.0,-52772473.00212605,-368.38,,0.32705376,25.04,0.24,4.0,0.43,6162999808.0,933000000.0,32.71,,11.62,-1274.27,-5.12,-5.12,2.79,9.48,,1.00137041,0.32660618,0.32705376,0.2504374,2599059980288.0,,-0.03707609,,0.00945611,5.57807506,,,0.93954125,15.54019531
000006.XSHE,000006.XSHE,155.3844,154.2646,1.2381,28.4976,3.6543,-27.1523,0.44,1.8918015,6.79,49.55,90.79,6.61,3.76,101.52,0.96735843,157.9,78.6,78.6,-89.79,-89.87,-66.79,-66.81,3.8999,14014780451.4093,26040472.0,282841184.0,19216600.0,,4342856704.0,282841184.0,82796009.5,256800720.0,-1678763.94917154,-92.23,1.13141653,0.08997054,6.79,0.16,0.44,0.0139,18589340.0,-593099.0625,9.0,20.2,-2.31,-1001.72,-55.34,-55.34,-68.67,-90.16,,0.99206895,0.09068981,0.08997054,0.06794131,12386932736.0,-0.06755995,-0.03242805,2.40972197,0.02283384,78.06950846,0.02785524,16.32264309,0.6494002,1.85225465
000009.XSHE,000009.XSHE,285.9425,267.5446,3.3113,39.5719,6.398,21.8322,13.68,2.27860624,53.48,31.86,101.64,11.05,14.03,-2.26,-0.02193203,96.59,34.64,34.05,940.6,703.58,395.7,793.13,5.9634,36206593715.0605,-18738148.0,1136427904.0,610465024.0,5554511141.9425,6477674496.0,1141459712.0,892620868.0,1160197888.0,-1051567.59441284,-26.46,2.17309466,0.72118964,53.72,3.81,-0.33,0.353,-13388737.0,838318144.0,71.8,5.52,101.05,1604.6801,4.05,4.12,684.52,1743.0,0.06769925,0.98793115,0.7267819000000001,0.71801048,0.53481084,16661305344.0,-0.41078568,-0.02952658,1.88246631,0.06850962,0.67570895,0.09822809,2.57355241,0.61121453,1.57211232
000012.XSHE,000012.XSHE,277.0573,174.0936,5.1251,62.3001,3.5948,-255.3264,2.47,0.97634862,9.17,20.68,95.59,3.57,8.11,42.62,0.36607545,105.75,8.9,8.9,11.66,15.61,44.02,52.39,3.8096,42478592084.1387,90502736.0,2054090496.0,188356144.0,,7710081024.0,2054090496.0,290453788.0,1963587712.0,1185971.51475324,16.0,2.7882254,0.09207810000000001,9.17,1.23,0.91,0.09,68952560.0,98634016.0,9.21,3.8,46.45,363.06,15.15,15.15,139.79,27.16,,0.89069416,0.10337791,0.09207810000000001,0.09169807,15234992128.0,0.17312605,0.04366591,0.38500625,0.13482715,0.20372249,1.09750019,0.76627512,0.49392287,0.9759834000000001
000021.XSHE,000021.XSHE,177.4339,177.2596,1.3808,97.9884,3.4891,-21.3888,0.03,1.91998309,0.04,4.17,98.3,0.19,2.53,482.1,35.3460966,64.3,-6.96,-6.96,-94.72,-98.78,-97.98,-98.02,1.1335,16738155593.2798,68324488.0,4013946112.0,1719615.625,,5087189504.0,4013946112.0,-5151158.375,3945621504.0,-1040876.8173282,-4.6,1.12706693,0.00232429,0.04,0.01,1.18,0.0012,60781700.0,-58994908.0,0.23,-0.48,-416.27,-270.31,28.45,28.45,-90.58,-98.8,,0.65829584,0.00353077,0.00232429,0.00042841,14851075072.0,3.91354172,-0.0189153,1.14504839,0.27027983,2.23768393,0.36228887,,0.65745315,1.9193084999999999
000027.XSHE,000027.XSHE,388.9166,141.0212,1.2751,18.6822,1.8664,28.5263,2.62,1.08740562,20.27,34.67,79.73,0.84,5.91,77.76,0.84579539,114.21,-4.85,-4.85,32.7,16.24,-17.52,-15.06,3.333,110522717606.0742,646276096.0,3187848960.0,646207616.0,9496725876.9166,23655069696.0,3187848960.0,1042447392.0,2541572864.0,2718694.99102285,33.17,2.38635491,0.24539704,20.27,1.36,2.55,0.1419,546559424.0,136012656.0,24.54,6.63,16.36,163.61,5.21,5.21,-3.5,10.77,0.0330663,0.94123603,0.26071786,0.24539704,0.20270961,46314450944.0,0.31635258,0.0466626,0.83094309,0.06883055,0.21185562,0.23428247,2.07930319,0.48925078,0.95790803
000030.XSHE,000030.XSHE,131.9117,57.2048,4.093,25.7194,2.9015,20.3742,1.65,0.53218026,8.87,18.49,99.36,4.76,11.74,6.95,0.93071105,120.1,-28.15,-28.15,-54.73,-51.5,-44.24,-41.37,3.0364,15718594352.6245,5444368.5,850113280.0,75384024.0,,5004293120.0,850113280.0,80746257.0,844668928.0,-167618.52389038,-2.6,2.11732699,0.08624792,8.87,1.02,1.56,0.06,70160744.0,67876136.0,8.62,0.29,86.67,-406.12,-24.66,-24.66,-48.82,-49.78,,0.9362222,0.09212335,0.08624792,0.08867527,7423791616.0,-0.39123682,-0.00913861,2.03865816,0.11451201,0.64559875,0.24918181,,0.32591142,0.48348457
000031.XSHE,000031.XSHE,254.8293,254.8277,1.4918,26.0524,4.3173,4.4651,5.85,7.45518227,11.58,26.04,90.08,2.62,2.0,66.32,0.42768443,99.46,210.47,210.47,5674.1201,5797.5698,281.65,173.05,2.1012,101924559994.3945,388184896.0,3914153472.0,453273536.0,,11124672512.0,3914153472.0,700319680.0,3525968640.0,1222835.58479956,7.96,1.84884151,0.15069115,11.58,0.87,3.34,0.19,193858032.0,201643360.0,15.07,2.94,34.45,80.27,83.18,83.18,159.14,1606.73,,1.00771196,0.14953792,0.15069115,0.11580372,55128879104.0,0.00861985,0.00708147,1.76084914,0.07100006,6.84644865,0.07839844,4.04250558,0.79820604,3.95555056
000039.XSHE,000039.XSHE,625.3421,264.6792,1.5127,24.2312,2.6284,31.0785,0.81,2.79262969,2.13,18.95,95.49,4.89,7.15,126.85,1.20252697,149.94,-27.93,-27.93,-53.17,-63.19,-75.96,-79.78,0.9509,239411619648.4688,570004992.0,12633858048.0,269011008.0,40541904177.3421,31087296512.0,12633858048.0,598015008.0,12063852544.0,-2140377.18492095,-10.59,2.32456606,0.03317839,2.13,0.27,1.27,0.0759,323492992.0,-150834000.0,3.32,1.18,-33.57,-234.82,-30.03,-30.03,-68.47,-64.82,0.00808432,0.93282817,0.03556752,0.03317839,0.02129286,102991962112.0,0.04480414,-0.01861448,0.88021213,0.12266839,0.66019218,0.263994,1.50310538,0.69815803,2.31299192
000046.XSHE,000046.XSHE,571.9426,570.943,0.3014,24.016,5.6414,3.3907,5.19,8.30097536,20.19,64.04,77.53,3.53,15.19,79.71,0.94582255,178.79,127.89,168.95,315.83,319.39,2.14,29.32,5.1947,145140963027.2812,607432896.0,2266411008.0,545690624.0,,13480997888.0,2703435776.0,1011898480.0,2096002944.0,-4539492.41348082,-114.56,1.48650844,0.33527462,24.08,0.55,5.14,0.1144,516126496.0,152437152.0,28.11,9.24,20.0,-427.43,12.82,75.66,1.46,396.06,,0.99713147,0.28188429,0.28107569,0.20185078,97638842368.0,-0.03838551,-0.03085071,2.29469059,0.02768812,4.75363428,0.03213038,43.14124298,0.86192994,6.24270118
000049.XSHE,000049.XSHE,116.5374,116.5374,2.5881,44.2373,13.3396,100.1086,6.87,3.25245954,3.69,7.97,95.74,0.75,2.7,91.08,0.70232374,97.56,28.98,28.98,11.72,3.17,1.28,3.88,1.3836,16751934701.4093,89544960.0,2101873920.0,77653288.0,,1117021696.0,2101873920.0,89729099.0,2012328960.0,1772589.96043337,9.83,4.23195292,0.04699527,3.69,2.15,6.45,0.2828,54537748.0,9233175.0,4.7,-0.41,9.39,230.69,6.47,6.47,0.58,1.14,,1.00475153,0.04677303,0.04699527,0.03694479,3958440704.0,4.70818402,0.07270066,1.27579492,0.53098532,12.83199573,0.58813735,,0.7178127,2.54374559
