code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000002.XSHE,000002.XSHE,695.2509,517.7519,1.7868,35.9872,4.9153,24.5165,1.8,3.06289007,9.77,36.11,89.3,8.42,8.72,87.9,1.02591963,274.59,50.5,50.5,18.93,136.81,-79.24,-78.75,5.1457,66405729539.707,196720272.0,1838984448.0,179739616.0,,11775387648.0,1838984448.0,261899660.0,1642264192.0,-1588678.30783397,-60.06,1.57191526,0.12312159,9.77,0.51,1.81,0.05,184398400.0,29698408.0,12.31,2.07,13.27,-561.47,-57.88,-57.88,-81.54,138.19,,1.01167968,0.12170017,0.12312159,0.09773852,42245107712.0,-0.10746033,-0.03625009,1.56395596,0.0435313,4.70400803,0.04758788,4.81749791,0.72126037,2.58757699
000006.XSHE,000006.XSHE,31.5214,27.1723,3.6676,11.8582,2.5484,-35.8124,0.65,1.31489107,5.34,31.29,94.67,4.98,11.66,92.0,0.46074023,69.33,-20.49,-20.49,-72.81,-70.78,-94.23,-94.13,2.1674,4567833485.9722,7778510.5,145983808.0,7796531.0,,1288744832.0,145983808.0,13700818.25,138205296.0,-10270576.15972609,-221.77,1.56693213,0.05328338,5.34,0.29,0.29,0.0314,3592175.5,,5.33,3.59,,-4162.02,-78.37,-78.37,-95.1,-64.65,,0.91998408,0.05791772,0.05328338,0.05340682,2915144448.0,0.59002699,-0.19905499999999998,1.44151229,0.05007773,1.58077769,0.09061422,4.98500868,0.55791386,1.26200272
000012.XSHE,000012.XSHE,138.10299999999998,29.6041,1.6754,42.5225,5.3966,109.3706,4.14,1.38762368,16.44,32.44,82.77,5.98,6.76,97.56,0.77119079,126.5,28.1,28.1,10.9,10.0,2.02,1.77,5.0141,25620841014.5862,136083504.0,789791680.0,129819528.0,,2850154752.0,789791680.0,157433789.0,653708160.0,1055544.24849653,18.46,4.00251194,0.17230304,16.44,2.09,3.99,0.1,100115624.0,,17.23,2.27,,107.12,10.35,10.35,-1.93,7.08,,0.97557064,0.17661769,0.17230304,0.16437186,6401190400.0,0.70384389,0.04105107,0.44259440000000005,0.12338199999999999,0.17281370000000001,0.63090736,1.35438813,0.55474614,1.24590977
000016.XSHE,000016.XSHE,31.3635,14.6007,2.3913,41.5475,0.9649,91.9601,0.27,1.84129458,0.44,16.84,99.39,12.23,3.58,99.77,0.37947781,114.52,19.29,19.29,48.43,-16.9,185.81,59.51,0.2602,51115350776.1182,18576862.0,3035353344.0,13259094.0,,3498255104.0,3035353344.0,20423969.5,3016776704.0,-880138.29694505,-0.91,5.38995522,0.00612016,0.44,0.15,0.15,0.0145,5031532.0,0.0,0.61,0.06,0.0,-148.59,28.93,28.93,41.5,-24.23,,0.9976541999999999,0.00613455,0.00612016,0.00436822,9483446272.0,0.06838149,-0.00461209,1.35753635,0.3200686,2.39987746,0.37663587,,0.63111982,1.71090751
000021.XSHE,000021.XSHE,114.3374,40.5182,1.8306,33.8825,3.7958,27.5816,2.83,0.34687408,3.01,3.51,97.67,0.06,1.08,71.84,0.96041247,100.69,38.65,38.65,20.73,7.73,0.38,0.35,1.2304,9825013159.8652,65126360.0,2799149056.0,84137800.0,,3012290304.0,2799149056.0,88377407.5,2734022656.0,1720055.44964832,7.03,2.42164767,0.03242782,3.01,2.05,2.72,0.0957,80806992.0,25643944.0,3.24,-0.08,28.29,301.98,22.35,22.35,-2.42,7.69,,1.00130945,0.03238541,0.03242782,0.03005835,4057160448.0,66.51399402,0.18822116,2.74255719,0.68992811,3.73261695,0.98016274,,0.2575373,0.34686901
000024.XSHE,000024.XSHE,142.3292,56.3484,1.5906,33.7608,3.5852,-157.675,2.56,2.50094451,17.13,31.48,79.66,1.95,3.68,92.39,1.15272171,130.82,13.14,13.14,38.38,104.59,14.74,15.03,5.3518,19115012327.4807,123532080.0,607211328.0,104041056.0,,4124348160.0,607211328.0,142949520.0,483679264.0,-3727362.15521492,-87.37,1.35724269,0.20124982,17.13,0.83,3.04,0.163,119930384.0,-1330910.0,20.13,1.52,-1.0,-429.45,22.88,22.88,25.15,108.09,,0.91398991,0.22018822,0.20124982,0.17134242,14083709952.0,-0.14222826,-0.05326771,1.70394317,0.04311444,1.07059052,0.05639883,5.02358093,0.70715476,2.41477251
000027.XSHE,000027.XSHE,126.262,57.9342,3.3064,18.4669,2.8756,368.6759,4.38,0.78428649,19.47,26.61,77.13,0.22,1.93,104.55,0.43759432,106.11,11.35,11.35,8.43,1.2,24.32,13.21,1.7998,54123436712.7852,484310176.0,2033950976.0,395923968.0,,7571106816.0,2033950976.0,488334218.0,1568711552.0,4947270.11188421,30.71,4.91372394,0.22790537,19.47,3.53,4.05,0.1558,173254080.0,-1691110.875,22.79,1.23,-0.37,128.98,22.16,22.16,25.81,-4.86,,1.00064767,0.22775786,0.22790537,0.19465758,11014749184.0,0.32805687,0.18139287,3.23036738,0.18465704,0.41148789,0.44574829,1.35988558,0.31263922,0.45484005
000028.XSHE,000028.XSHE,29.0166,7.1851,2.7049,37.9844,6.5812,19.2349,5.82,4.55976336,1.93,10.62,97.7,4.63,2.72,91.81,0.76810388,102.47,243.4,243.4,319.6,228.95,13.21,13.27,0.6476,14626203682.3883,31700036.0,1377232000.0,26535304.0,,463357344.0,1377232000.0,41466598.5,1345532032.0,1739145.4753397,3.66,5.91251746,0.02509911,1.93,1.09,4.75,0.087,20381870.0,2867266.0,2.51,0.5,8.3,159.19,-2.75,-2.75,-1.59,209.28,,1.00109135,0.02507175,0.02509911,0.01926713,2473769216.0,0.74686995,0.02510137,1.01651077,0.55673423,5.34548248,0.71781161,0.07938271,0.81269173,4.33879338
000029.XSHE,000029.XSHE,59.4856,12.8652,6.4542,303.1945,5.5711,19.1907,0.37,1.33471956,2.38,22.71,97.74,2.43,10.07,92.16,0.23358218,120.08,68.13,68.13,131.43,-81.38,-34.04,-22.67,5.1992,3727340552.6166,3716534.5,164127728.0,3900358.75,,1049810624.0,164127728.0,9175956.1719,160411200.0,1276109.58980512,46.25,1.50601795,0.03243946,2.38,0.16,0.09,0.0039,911054.3125,1607680.125,3.24,3.13,39.87,2042.5,-26.79,-26.79,-49.68,-81.59,,1.32024535,0.02457078,0.03243946,0.02376417,2474964224.0,0.42240527,0.05326453,1.6411488999999997,0.06631519,0.89209324,0.08040872,1.2612948999999998,0.57582799,1.35753405
000031.XSHE,000031.XSHE,88.1311,38.9003,15.0037,77.0403,6.981,1041.5295,4.64,0.72189519,73.0,63.59,106.41,2.3,49.92,-8.39,1.14247374,113.83,-5.85,-5.85,221.47,230.5,205.53,262.95,23.6421,5876278658.4205,-5926494.5,92408848.0,67456864.0,,1918802560.0,92408848.0,78027404.25,98335344.0,-1092616.66039309,-104.2,1.86444546,0.74752028,73.0,2.59,5.19,0.0985,77067696.0,75003984.0,74.75,7.99,106.18,1624.8,-2.89,-2.89,161.97,281.11,,0.97788484,0.76442567,0.74752028,0.72998274,3151756800.0,-0.02238643,-0.07809983,1.12971219,0.02931979,0.30031847,0.07303603,1.78328159,0.39119583,0.64256435
