code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000001.XSHE,000001.XSHE,684.4796,414.8759,0.3925,5.5608,0.863,0.6469,4.26,17.67419382,34.08,,,,38.07,127.4,0.98072692,,56.62,56.62,46.35,44.88,-3.47,-2.81,1.8434,,5607446016.0,9901654016.0,3374077952.0,,79822610432.0,9901654016.0,,5529767936.0,98179639.80836403,678.69,,0.44153089,34.08,0.24,4.23,0.6505,3309049088.0,334673984.0,44.15,,7.6,1198.4399,1.83,1.83,-2.09,43.09,,0.99331746,0.44450128,0.44153089,0.34075902,1490622873600.0,,0.04763393,,0.00664263,3.0491151000000003,,,0.94645018,17.67419382
000002.XSHE,000002.XSHE,893.9106,785.5235,0.3801,8.6184,1.6223,15.7574,4.26,4.72900334,14.75,34.97,82.24,3.22,1.66,90.71,0.77219377,131.93,69.55,69.55,43.57,45.69,96.33,66.85,1.0833,712586505760.125,3619725824.0,20377079808.0,3004930816.0,,69833973760.0,20377079808.0,4284930432.0,16757353472.0,1721732.68827477,7.55,2.15673108,0.19509344,14.75,0.94,4.24,0.2118,2320388864.0,355708800.0,19.51,1.44,8.91,42.52,96.96,96.96,95.17,31.39,,0.99621735,0.19583421,0.19509344,0.14746621,330401185792.0,0.05139688,0.00590663,1.45665805,0.06167375,13.00839643,0.06443506,2.77236538,0.78863883,3.73123839
000006.XSHE,000006.XSHE,51.2998,50.4882,0.2136,9.0501,1.6414,121.728,6.12,1.65093311,17.56,40.45,74.79,1.45,1.12,99.81,0.99340698,104.15,85.66,85.66,126.31,132.96,119.81,133.34,1.6907,42726366300.2747,266268912.0,1056276032.0,185456752.0,,3212378880.0,1056276032.0,270057639.25,790007104.0,12165444.18071741,59.08,5.10339562,0.25208270000000005,17.56,2.22,6.1,0.1867,184234032.0,,25.21,0.31,,234.38,130.91,130.91,124.18,136.13,,0.99806035,0.25257260000000004,0.25208270000000005,0.17557603,8372144640.0,0.72043651,0.12095216,1.63847098,0.12616553,171.11716089,0.15015937,1.28409742,0.61630159,1.6062134
000009.XSHE,000009.XSHE,97.5131,96.5017,1.4051,92.3998,3.4735,-218.6921,0.71,2.90013116,5.35,34.41,94.37,9.51,10.18,68.32,0.05173465,86.71,17.19,17.19,-44.19,-49.4,-6.57,-40.53,2.245,46708906779.1138,76401984.0,1357422464.0,72561984.0,,4376354304.0,1357422464.0,181093448.0,1281020544.0,2352000.05717381,16.9,3.73130992,0.07899489,5.35,0.59,0.14,0.0179,3753968.75,30827446.0,7.9,5.1,27.57,300.19,83.79,83.79,10.86,-82.81,,0.95882306,0.08238734,0.07899489,0.05345571,12518098944.0,0.12167704,0.02816974,1.4574445,0.10843679,1.3342389,0.14694567,1.92763578,0.65039781,1.86039419
000012.XSHE,000012.XSHE,148.8016,93.3387,0.5278,25.3634,2.1899,-37.0876,1.81,1.1022673,8.25,22.77,91.33,3.24,6.48,88.5,0.72986436,117.45,-22.24,-22.24,-71.25,-67.88,4.62,3.0,2.0732,41491260212.0522,158070048.0,1822189696.0,150323920.0,,7202242048.0,1822189696.0,250095174.0,1664119680.0,3969213.52500517,32.41,2.82406517,0.08694487,8.25,1.03,1.59,0.0602,109716072.0,360001.0,8.69,3.92,0.2,373.65,19.64,19.64,40.77,-70.44,,0.88704544,0.09801625,0.08694487,0.08249631,14692033536.0,0.25919216,0.07885739,0.48276489,0.1240257,0.19035058,0.87958955,0.60877402,0.50978586,1.03992492
000021.XSHE,000021.XSHE,63.853,63.7861,0.145,30.2934,1.6148,10.8981,0.51,1.49894651,0.22,2.55,99.4,0.33,1.63,129.6,2.11461091,111.78,-2.1,-2.1,-72.09,-84.23,-67.09,-55.11,0.363,11180233826.1353,26394864.0,4384405504.0,9573853.0,4782675758.853,4189524480.0,4384405504.0,17500233.0,4358010368.0,653062.18316246,0.95,1.10512486,0.00461125,0.22,0.09,0.5,0.0155,20244974.0,-6177286.5,0.46,-0.07,-30.33,157.99,8.56,8.56,-44.62,-67.79,0.00195354,0.99267327,0.00464528,0.00461125,0.00218361,10116715520.0,1.87013883,0.00703537,1.25612696,0.43338231,3.04988835,0.59254975,0.0,0.58588101,1.41476475
000024.XSHE,000024.XSHE,358.9158,143.0142,0.616,15.3139,1.6854,3.8272,3.75,2.90023476,17.59,51.39,74.72,1.88,1.46,98.54,0.69558673,141.99,23.12,23.12,1.6,-9.44,99.91,84.22,2.0989,332706400922.7344,1636532736.0,6474146816.0,1138649984.0,,25898045440.0,6474146816.0,1775865096.0,4837614080.0,7391045.10083834,40.97,3.79534192,0.25695022,17.59,1.33,3.76,0.4607,792029824.0,27000704.0,25.7,1.78,1.63,162.1,79.52,79.52,97.87,-12.78,,1.00165149,0.25652657,0.25695022,0.17587645,87661772800.0,0.15939231,0.04295018,1.84809158,0.07385371,15.255270300000001,0.07908288,5.51921749,0.70456849,2.38487972
000028.XSHE,000028.XSHE,98.6912,79.8916,0.3039,24.3382,6.3738,-452.2599,7.84,4.54339328,2.66,9.74,96.57,2.61,2.21,102.22,1.05718348,96.6,23.22,23.22,82.57,53.32,-1.95,-2.96,0.5901,44108184583.9746,155431856.0,4528561152.0,120407784.0,,1627243648.0,4528561152.0,195123084.0,4373129728.0,4157892.40513981,9.06,5.09201082,0.03628415,2.66,1.44,8.44,0.4102,127293120.0,8883130.0,3.63,0.95,5.84,264.0,5.94,5.94,6.94,52.25,,1.08058677,0.03357819,0.03628415,0.02658853,8662233088.0,1.19262306,0.05832949999999999,1.09399487,0.52279373,7.5627201,0.61948358,0.02742731,0.81214503,4.3232552
000029.XSHE,000029.XSHE,33.0813,29.1573,0.11800000000000001,42.972,2.1089,-17.5662,1.16,1.1680811000000002,8.42,31.31,88.79,1.58,6.65,99.86,1.00130395,93.89,-29.1,-29.1,-52.09,-56.28,-18.41,-18.13,3.5964,6703149269.3438,23994542.0,214089728.0,18020688.0,,1440338304.0,214089728.0,25211247.75,190095184.0,-3024843.74993542,-46.74,2.04824425,0.11231058,8.42,0.56,1.16,0.0178,18044186.0,,11.23,0.55,,-417.04,-8.22,-8.22,-17.74,-56.3,,1.00063964,0.11223879,0.11231058,0.08417353,3272631808.0,-0.23893445,-0.0546123,1.85121183,0.06541821,3.55578468,0.08158365,2.74520652,0.55988379,1.27212718
000031.XSHE,000031.XSHE,67.4708,67.4704,0.1575,18.062,1.5346,1.9021,0.18,6.20405022,2.22,40.57,126.88,11.36,15.3,-321.72,-7.581655900000001,442.69,-68.56,-68.56,-85.04,-94.02,-92.47,-84.6,1.3085,15549063204.9568,-103003728.0,383265056.0,8497512.0,13234096351.2208,7107701248.0,383265056.0,138654920.0,486268768.0,5067551.18226709,89.21,0.45221757,0.0775632,2.22,0.03,-1.45,0.0045,-64425212.0,132730992.0,7.76,27.82,414.57,-331.94,-54.34,-54.34,-83.03,-85.22,0.00676295,0.92849425,0.08353655,0.0775632,0.02217137,34384031744.0,0.05700975,0.01253511,1.60875484,0.011146600000000001,2.4024436000000002,0.012064299999999998,26.94633163,0.79328478,3.83757392
