code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000002.XSHE,000002.XSHE,1088.1049,810.3134,3.1284,43.5243,7.2535,17.1519,4.0,2.05838771,14.98,44.57,79.78,4.47,6.78,100.15,0.9932735,114.63,78.57,78.57,40.33,49.86,-36.25,-27.49,5.5154,183367168626.0645,831966848.0,4114138880.0,616108928.0,,17951209472.0,4114138880.0,856674074.0,3282171904.0,-2975472.52639365,-78.7,3.65429167,0.20164316,14.98,1.23,4.0,0.1401,611964672.0,-2378848.75,20.16,0.63,-0.29,-389.15,-56.28,-56.28,-39.99,49.27,,0.99860459,0.20192493,0.20164316,0.14975404,50178580480.0,-0.19626643,-0.10046201,2.40181557,0.08198994,8.14618042,0.08635826,5.39773758,0.6422535,1.79527563
000006.XSHE,000006.XSHE,62.8907,54.2135,3.217,32.2863,5.0791,-44.7208,0.98,1.41538601,12.58,39.87,85.96,7.42,12.85,99.24,1.01051249,111.16,-48.57,-48.57,-64.36,-61.02,-65.56,-63.74,5.4502,4247415416.132,14959062.0,106531616.0,13400626.0,,1386696960.0,106531616.0,14792096.1562,91572552.0,-3206585.32741493,-189.3,1.30094039,0.14041899,12.58,0.42,0.97,0.0539,13541500.0,,14.04,-0.26,,-1348.11,-52.94,-52.94,-63.33,-61.12,,0.9923658000000001,0.14149922,0.14041899,0.12579013,3264880896.0,-0.26511308,-0.10737203,2.42410676,0.03262956,1.19605652,0.03925599,11.708062,0.57526871,1.35442989
000012.XSHE,000012.XSHE,164.505,35.2637,3.5810000000000004,48.3231,7.3765,227.7829,2.06,1.42405623,8.79,31.93,89.93,8.37,8.2,101.64,0.79209403,118.39,39.93,39.93,23.87,16.42,-29.41,-31.38,5.1524,25505616807.6138,80472440.0,798797888.0,70198792.0,,3014755840.0,798797888.0,116103688.0,718325440.0,1113412.93312309,22.93,3.72816661,0.10080251,8.79,1.03,2.09,0.054000000000000006,55604044.0,48390.0,10.08,4.62,0.06,227.61,-10.09,-10.09,-23.07,10.75,,1.01699439,0.09911806,0.10080251,0.08788054,6841329664.0,0.51812338,0.04786579,0.37979054,0.11676062,0.16501289,0.69193558,1.3257398,0.55933192,1.26928159
000016.XSHE,000016.XSHE,60.8006,28.3047,7.0439,61.5552,1.7907,7.1033,0.78,1.68681097,0.75,16.04,99.16,11.43,3.56,99.24,1.02157501,113.69,5.71,5.71,0.41,1.77,-58.43,-54.98,0.4708,54551089439.4141,28583856.0,3400940544.0,25491256.0,,3634271488.0,3400940544.0,35383578.75,3372356608.0,12379058.21602017,22.13,5.82710634,0.00840469,0.75,0.26,0.77,0.0436,26041230.0,,0.84,0.19,,2633.1399,-17.53,-17.53,-51.62,8.24,,0.99244324,0.00846869,0.00840469,0.00749535,9361608704.0,27.18952486,0.13141433,1.38473848,0.36328591,2.77829168,0.43097108,,0.61178983,1.57592436
000021.XSHE,000021.XSHE,157.8736,55.9462,5.2492,25.1184,4.4068,24.4366,10.77,0.24442983,11.6,2.11,99.46,0.05,1.03,3.97,0.098044,101.44,45.46,45.46,374.07,357.61,358.31,358.6,1.3848,6875919924.3856,17483744.0,3258729984.0,378093536.0,,3582464000.0,3258729984.0,438950111.625,3241246208.0,-211883.73994752,-1.03,1.54233455,0.13500245,11.6,8.57,1.06,0.4299,37069804.0,422452800.0,13.5,-0.05,95.89,-191.33,6.67,6.67,408.11,357.46,,0.99854054,0.13519977,0.13500245,0.11602481,4458124800.0,-14.37457635,-0.03820068,3.66514754,0.73096428,4.36271455,1.05203873,,0.19641914,0.24442983
000024.XSHE,000024.XSHE,289.226,118.7657,1.1263,46.5125,8.2046,63.3158,1.79,2.50989032,16.99,34.04,81.11,3.23,5.49,92.32,0.95318257,119.28,11.26,11.26,-11.86,-13.54,-83.46,-82.72,10.1554,13026848012.4453,72282680.0,382692352.0,65014156.0,,3839943936.0,382692352.0,89056422.0,310409696.0,-4298377.40497721,-324.86,0.99623678,0.18273864,16.99,0.51,1.73,0.1012,61970360.0,-2350002.0,18.27,2.81,-3.0,-1719.92,-71.94,-71.94,-84.69,-13.06,,0.89323058,0.20458171,0.18273864,0.16988622,13076056064.0,-0.27859475,-0.13460236,2.21682721,0.02926665,0.83771579,0.03600885,12.47982914,0.70633778,2.40527272
000027.XSHE,000027.XSHE,206.8292,102.4612,4.5104,14.2876,4.5217,32.0492,2.94,0.6329969,22.13,29.71,74.68,0.33,1.41,99.22,0.51948212,119.05,12.54,12.54,45.88,48.15,-56.46,-76.85,2.1539,52299915601.7939,445726624.0,1760347264.0,389568256.0,,8721403904.0,1760347264.0,474659498.0,1314620672.0,2893120.41007003,33.99,4.40114401,0.25546374,22.13,2.3,2.94,0.1681,202373744.0,3978259.75,25.55,1.44,0.89,134.25,-57.51,-57.51,-49.66,49.0,,1.00102102,0.25520317,0.25546374,0.22130194,11883254784.0,0.31574524,0.18925045,5.33940345,0.14813679,0.33714412,0.32645077,1.7374265,0.26607619,0.36253924
000028.XSHE,000028.XSHE,44.0869,17.0332,14.1406,51.6808,10.9657,72.2132,6.38,5.39643412,1.85,10.4,97.57,4.75,2.71,98.3,0.96355845,106.06,19.73,19.73,30.84,23.02,118.03,113.36,0.7404,15494531118.064,36133432.0,1489858816.0,27555850.0,,453345344.0,1489858816.0,42092172.0,1453725312.0,1106336.19790681,3.27,5.60806184,0.02502505,1.85,1.02,6.49,0.0906,26551672.0,1150362.25,2.5,0.36,3.13,134.99,-10.84,-10.84,90.5,24.18,,1.01434742,0.02467109,0.02502505,0.01849561,2762903040.0,0.51910107,0.02111873,1.01938474,0.53923674,6.97218052,0.66858324,0.07320572,0.83591705,5.09447773
000029.XSHE,000029.XSHE,103.2905,27.5036,10.6914,622.4187,9.2406,-733.5096,0.04,1.14280587,1.01,23.98,93.91,1.15,10.47,131.92,1.80306041,161.63,-29.69,-29.69,123.82,-62.69,-82.84,-94.21,10.9363,2922774235.566,7420164.5,121883832.0,1228168.5,,1105894400.0,121883832.0,6730425.375,114463664.0,-225475.76704171,-19.11,1.22634949,0.06087899,1.01,0.05,0.2,0.0004,2214462.0,,6.09,0.91,,-313.87,-71.93,-71.93,38.84,-89.46,,1.31921752,0.0461478,0.06087899,0.01007655,2383312640.0,-0.62298318,-0.0182317,1.08646837,0.05114051,1.56580378,0.09419027,0.70155534,0.53598433,1.15509966
000031.XSHE,000031.XSHE,195.1475,106.2515,5.3325,125.5444,12.9092,105.4492,0.87,1.03985717,19.73,49.23,81.33,1.23,26.9,81.91,0.54897885,93.23,-14.62,-14.62,-36.6,-40.94,-77.43,-79.57,55.155,3799407133.3913,14408164.0,77176664.0,15225132.0,,1729448064.0,77176664.0,23399669.75,62768500.0,-125007.56177105,-31.61,1.15084875,0.23071414,19.73,0.47,0.52,0.0201,8358275.5,3397584.5,23.07,7.53,19.32,-169.31,-16.48,-16.48,-74.22,-40.99,,1.01229174,0.2279127,0.23071414,0.19727637,3301395712.0,2.13459338,-0.01551891,0.98700908,0.02337698,0.21093988,0.05423014,2.04174991,0.47614635,0.90893017
